Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
53018346,"Happily Ever Afters (Happily Ever Afters, #1)",Elise Bryant,"Bryant, Elise",,"=""0062982834""","=""9780062982834""",0,3.82,Balzer + Bray,Hardcover,384,2021,2021,,2021/01/01,to-read,to-read (#609),to-read,,,,0,0
48637556,The Strange Adventures of H,Sarah Burton,"Burton, Sarah",,"=""1789551269""","=""9781789551266""",0,4.16,Legends Press,Paperback,381,2020,2020,,2021/01/01,to-read,to-read (#608),to-read,,,,0,0
50496875,Plain Bad Heroines,Emily M. Danforth,"Danforth, Emily M.",Sara Lautman,"=""0062942859""","=""9780062942852""",0,3.66,William Morrow,Hardcover,640,2020,2020,,2020/12/30,to-read,to-read (#607),to-read,,,,0,0
55256435,"The Descent of the Drowned (The Descent of the Drowned, #1)",Ana Lal Din,"Din, Ana Lal",,"=""183804650X""","=""9781838046507""",0,3.86,White Tigress Press,Hardcover,360,2021,2021,,2020/12/28,to-read,to-read (#606),to-read,,,,0,0
36152363,"Illusionary (Hollow Crown, #2)",Zoraida Córdova,"Córdova, Zoraida",,"=""075955787X""","=""9780759557871""",0,4.17,"Little, Brown Books for Young Readers ",ebook,368,2021,2021,,2020/12/25,to-read,to-read (#604),to-read,,,,0,0
40024121,"The Gilded Ones (The Gilded Ones, #1)",Namina Forna,"Forna, Namina",,"=""""","=""""",0,4.01,Delacorte,Kindle Edition,432,2021,2020,,2020/12/25,to-read,to-read (#603),to-read,,,,0,0
52305778,"Blood Like Magic (Blood Like Magic, #1)",Liselle Sambury,"Sambury, Liselle",,"=""1534465286""","=""9781534465282""",0,3.99,Margaret K. McElderry,Hardcover,496,2021,2021,,2020/12/25,to-read,to-read (#602),to-read,,,,0,0
48729949,Angel of Greenwood,Randi Pink,"Pink, Randi",,"=""""","=""""",0,4.22,Feiwel and Friends,Hardcover,,2021,2021,,2020/12/25,to-read,to-read (#601),to-read,,,,0,0
36443368,"Thorn (Dauntless Path, #1)",Intisar Khanani,"Khanani, Intisar",,"=""1471408728""","=""9781471408724""",0,4.01,Hot Key Books,Paperback,460,2020,2012,,2020/12/24,to-read,to-read (#600),to-read,,,,0,0
15729539,NOS4A2,Joe Hill,"Hill, Joe",,"=""0062200577""","=""9780062200570""",0,4.08,William Morrow,Hardcover,692,2013,2013,,2020/12/23,to-read,to-read (#599),to-read,,,,0,0
54621094,The Last House on Needless Street,Catriona Ward,"Ward, Catriona",,"=""1788166167""","=""9781788166164""",0,3.87,Viper,Hardcover,335,2021,2021,,2020/12/22,to-read,to-read (#598),to-read,,,,0,0
31351689,Girl Made of Stars,Ashley Herring Blake,"Blake, Ashley Herring",,"=""1328476693""","=""9781328476692""",0,4.21,HMH Books for Young Readers,ebook,304,2018,2018,,2020/12/21,to-read,to-read (#597),to-read,,,,0,0
24611565,"Twelve Kings in Sharakhai (The Song of the Shattered Sands, #1)",Bradley P. Beaulieu,"Beaulieu, Bradley P.",,"=""0756409721""","=""9780756409722""",0,3.93,DAW,Hardcover,592,2015,2015,,2020/12/21,to-read,to-read (#596),to-read,,,,0,0
31179006,"Sweet Black Waves (Sweet Black Waves, #1)",Kristina Pérez,"Pérez, Kristina",,"=""1250132851""","=""9781250132857""",0,3.76,Imprint,Hardcover,448,2018,2018,,2020/12/21,to-read,to-read (#595),to-read,,,,0,0
30223025,"Dread Nation (Dread Nation, #1)",Justina Ireland,"Ireland, Justina",,"=""0062570609""","=""9780062570604""",0,4.14,Balzer + Bray,Hardcover,455,2018,2018,,2020/12/21,to-read,to-read (#594),to-read,,,,0,0
34912895,The Great Alone,Kristin Hannah,"Hannah, Kristin",,"=""""","=""""",0,4.40,St. Martin's Press,Kindle Edition,435,2018,2018,,2020/12/21,to-read,to-read (#593),to-read,,,,0,0
36342145,More Than Words,Mia Sheridan,"Sheridan, Mia",,"=""1538727390""","=""9781538727393""",0,3.89,Forever,Paperback,336,2018,2018,,2020/12/20,to-read,to-read (#592),to-read,,,,0,0
25883848,The Hating Game,Sally  Thorne,"Thorne, Sally",,"=""""","=""""",0,3.92,William Morrow Paperbacks,ebook,387,2016,2016,,2020/12/20,to-read,to-read (#591),to-read,,,,0,0
52763748,Heaven's Silhouette,Melissa Lynn Herold,"Herold, Melissa Lynn",,"=""163489264X""","=""9781634892643""",0,4.01,Wise Ink Creative Publishing,Hardcover,400,2019,,,2020/12/19,to-read,to-read (#590),to-read,,,,0,0
43611226,"Shadow Frost (Shadow Frost, #1)",Coco Ma,"Ma, Coco",,"=""1982527447""","=""9781982527440""",0,3.73,Blackstone Pub,Hardcover,400,2019,2019,,2020/12/19,to-read,to-read (#589),to-read,,,,0,0
43129821,"The Blacksmith Queen (The Scarred Earth Saga, #1)",G.A. Aiken,"Aiken, G.A.",,"=""1496721217""","=""9781496721211""",0,4.08,Kensington Books,Kindle Edition,304,2019,2019,,2020/12/18,to-read,to-read (#588),to-read,,,,0,0
24468673,"The Lightning-Struck Heart (Tales From Verania, #1)",T.J. Klune,"Klune, T.J.",,"=""163476367X""","=""9781634763677""",0,4.39,Dreamspinner Press,Paperback,405,2015,2015,,2020/12/18,to-read,to-read (#587),to-read,,,,0,0
20983362,"Passenger (Passenger, #1)",Alexandra Bracken,"Bracken, Alexandra",,"=""1484715772""","=""9781484715772""",0,3.76,Disney-Hyperion,Hardcover,496,2016,2016,,2020/12/18,to-read,to-read (#586),to-read,,,,0,0
40612896,Our Bloody Pearl,D.N. Bryn,"Bryn, D.N.",,"=""""","=""""",0,4.13,The Kraken Collective,Kindle Edition,206,2018,2018,,2020/12/17,to-read,to-read (#585),to-read,,,,0,0
36952571,The Weight of the Stars,K. Ancrum,"Ancrum, K.",,"=""1250101638""","=""9781250101631""",0,3.96,Imprint,Hardcover,384,2019,2019,,2020/12/17,to-read,to-read (#584),to-read,,,,0,0
23834615,"Unhinge (Fairfax, #2)",Calia Read,"Read, Calia",,"=""0553394797""","=""9780553394795""",0,3.92,Ballantine Books,ebook,240,2016,2016,,2020/12/16,to-read,to-read (#583),to-read,,,,0,0
16466436,"Unravel (Fairfax, #1)",Calia Read,"Read, Calia",,"=""1495300978""","=""9781495300974""",0,3.94,CreateSpace Independent Publishing Platform,Paperback,324,2014,2014,,2020/12/16,to-read,to-read (#582),to-read,,,,0,0
43365469,"King  of the South (Belgrave Dynasty, #1)",Calia Read,"Read, Calia",,"=""""","=""""",0,3.96,,,404,2020,2020,,2020/12/16,to-read,to-read (#581),to-read,,,,0,0
29698573,A Different Blue,Amy Harmon,"Harmon, Amy",,"=""""","=""""",0,4.22,CreateSpace,Paperback,368,2016,2013,,2020/12/14,to-read,to-read (#579),to-read,,,,0,0
40407141,What the Wind Knows,Amy Harmon,"Harmon, Amy",,"=""""","=""""",0,4.36,Lake Union Publishing,Kindle Edition,418,2019,2019,,2020/12/14,to-read,to-read (#578),to-read,,,,0,0
28421168,"Renegades (Renegades, #1)",Marissa Meyer,"Meyer, Marissa",,"=""1250044669""","=""9781250044662""",0,4.14,Feiwel & Friends,Hardcover,552,2017,2017,,2020/12/14,to-read,to-read (#577),to-read,,,,0,0
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0385353308""","=""9780385353304""",0,4.07,Knopf,Hardcover,333,2014,2014,,2020/12/14,to-read,to-read (#576),to-read,,,,0,0
42388295,Be the Girl,K.A. Tucker,"Tucker, K.A.",,"=""""","=""""",4,4.14,K.A. Tucker,Kindle Edition,346,2019,2019,2020/12/11,2020/12/10,kindle-unlimited,kindle-unlimited (#9),read,,,,1,0
50892360,"Black Sun (Between Earth and Sky, #1)",Rebecca Roanhorse,"Roanhorse, Rebecca",,"=""1534437673""","=""9781534437678""",0,4.21,Saga Press,Hardcover,454,2020,2020,,2020/12/09,to-read,to-read (#575),to-read,,,,0,0
49089632,Elatsoe,Darcie Little Badger,"Badger, Darcie Little",Rovina Cai,"=""1646140052""","=""9781646140053""",0,4.02,Levine Querido,Hardcover,362,2020,2020,,2020/12/09,to-read,to-read (#574),to-read,,,,0,0
30079439,Spellbook of the Lost and Found,Moïra Fowley-Doyle,"Fowley-Doyle, Moïra",,"=""1448193974""","=""9781448193974""",0,3.73,RHCP Digital,ebook,416,2017,2017,,2020/12/09,to-read,to-read (#573),to-read,,,,0,0
33396914,"Assassin's Quest (Farseer Trilogy, #3)",Robin Hobb,"Hobb, Robin",,"=""""","=""""",0,4.20,Spectra,Kindle Edition,869,2020,1997,,2020/12/07,to-read,to-read (#572),to-read,,,,0,0
25300956,"Royal Assassin (Farseer Trilogy, #2)",Robin Hobb,"Hobb, Robin",,"=""""","=""""",0,4.26,Spectra,Kindle Edition,675,2015,1996,,2020/12/07,to-read,to-read (#571),to-read,,,,0,0
23288742,The Raven's Head,Karen Maitland,"Maitland, Karen",,"=""1472215060""","=""9781472215062""",0,3.78,Headline,Paperback,500,2015,2015,,2020/12/07,to-read,to-read (#570),to-read,,,,0,0
43189874,"Well Met (Well Met, #1)",Jen DeLuca,"DeLuca, Jen",,"=""""","=""""",0,3.84,Berkley,Kindle Edition,335,2019,2019,,2020/12/07,to-read,to-read (#569),to-read,,,,0,0
38347283,"The Notorious Virtues (The Notorious Virtues, #1)",Alwyn Hamilton,"Hamilton, Alwyn",,"=""0571342159""","=""9780571342150""",0,4.09,Faber & Faber,Paperback,368,,2025,,2020/12/07,to-read,to-read (#568),to-read,,,,0,0
42606745,"Viper (Isles of Storm and Sorrow, #1)",Bex Hogan,"Hogan, Bex",,"=""""","=""""",0,3.80,Orion Children's Books,Kindle Edition,400,2019,2019,,2020/12/05,to-read,to-read (#567),to-read,,,,0,0
53265678,"When the Tiger Came Down the Mountain (The Singing Hills Cycle, #2)",Nghi Vo,"Vo, Nghi",,"=""1250786169""","=""9781250786166""",0,4.20,Tor.com,ebook,128,2020,2020,,2020/12/05,to-read,to-read (#566),to-read,,,,0,0
51190882,"The Empress of Salt and Fortune (The Singing Hills Cycle, #1)",Nghi Vo,"Vo, Nghi",,"=""""","=""""",0,3.98,Tor.com,Kindle Edition,119,2020,2020,,2020/12/05,to-read,to-read (#565),to-read,,,,0,0
4279056,The Gift,Cecelia Ahern,"Ahern, Cecelia",,"=""0007284977""","=""9780007284979""",0,3.70,HarperCollins,Hardcover,305,2009,1973,,2020/12/05,to-read,to-read (#564),to-read,,,,0,0
22888009,A Christmas Feast and other stories,Katie Fforde,"Fforde, Katie",,"=""1784750395""","=""9781784750398""",0,3.66,Arrow,Paperback,405,2014,2014,,2020/12/05,to-read,to-read (#563),to-read,,,,0,0
23437291,"Aflame (Fall Away, #4)",Penelope Douglas,"Douglas, Penelope",,"=""0698403878""","=""9780698403871""",3,4.21,Penguin Publishing Group,ebook,262,2015,2015,2020/12/04,2020/12/03,,,read,,,,1,0
50214741,The Girl with the Louding Voice,Abi Daré,"Daré, Abi",Ronke Adékoluejo,"=""1524746029""","=""9781524746025""",0,4.44,Dutton Books,Hardcover,371,2020,2020,,2020/11/30,to-read,to-read (#562),to-read,,,,0,0
11988046,"Pivot Point (Pivot Point, #1)",Kasie West,"West, Kasie",,"=""0062117378""","=""9780062117373""",0,4.07,HarperTeen,Hardcover,343,2013,2013,,2020/11/30,to-read,to-read (#561),to-read,,,,0,0
43301353,The Space Between Worlds,Micaiah Johnson,"Johnson, Micaiah",,"=""""","=""""",0,3.95,Crown,,336,2020,2020,,2020/11/30,to-read,to-read (#560),to-read,,,,0,0
34198648,"The Brilliant Death (The Brilliant Death, #1)",Amy Rose Capetta,"Capetta, Amy Rose",,"=""""","=""""",0,3.67,Viking,Hardcover,352,2018,2018,,2020/11/29,to-read,to-read (#559),to-read,,,,0,0
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,"=""""","=""""",0,4.01,Viking,Hardcover,304,2020,2020,,2020/08/19,to-read,to-read (#388),to-read,,,,0,0
48727813,"She Who Became the Sun (The Radiant Emperor, #1)",Shelley Parker-Chan,"Parker-Chan, Shelley",,"=""""","=""""",0,3.88,Tor Books,Kindle Edition,416,2021,2021,,2020/11/27,to-read,to-read (#558),to-read,,,,0,0
140077,"Dead to the World (Sookie Stackhouse, #4)",Charlaine Harris,"Harris, Charlaine",,"=""0441012183""","=""9780441012183""",0,4.12,Ace Books,Mass Market Paperback,291,2005,2004,,2020/11/27,to-read,to-read (#557),to-read,,,,0,0
6361416,"Living Dead in Dallas (Sookie Stackhouse, #2)",Charlaine Harris,"Harris, Charlaine",,"=""0575089385""","=""9780575089389""",0,3.96,Gollancz,Paperback,279,2009,2002,,2020/11/27,to-read,to-read (#556),to-read,,,,0,0
6468742,"Dead as a Doornail (Sookie Stackhouse, #5)",Charlaine Harris,"Harris, Charlaine",,"=""0575091053""","=""9780575091054""",0,4.00,Gollancz Fiction,Paperback,295,2009,2005,,2020/11/27,to-read,to-read (#555),to-read,,,,0,0
7654360,"Club Dead (Sookie Stackhouse, #3)",Charlaine Harris,"Harris, Charlaine",,"=""""","=""9780575089402""",0,4.01,Gollancz,Paperback,274,2009,2003,,2020/11/27,to-read,to-read (#554),to-read,,,,0,0
47629,"Lirael (Abhorsen, #2)",Garth Nix,"Nix, Garth",,"=""0007137338""","=""9780007137336""",0,4.28,HarperCollins Children's Books,Paperback,527,2004,2001,,2020/11/27,to-read,to-read (#553),to-read,,,,0,0
47666,"Abhorsen (Abhorsen, #3)",Garth Nix,"Nix, Garth",,"=""0007137354""","=""9780007137350""",0,4.23,HarperCollins Children's Books,Paperback,396,2005,2003,,2020/11/27,to-read,to-read (#552),to-read,,,,0,0
51475325,Soulswift,Megan Bannen,"Bannen, Megan",,"=""0062674188""","=""9780062674180""",0,3.98,Balzer + Bray,Hardcover,480,2020,2020,,2020/11/26,to-read,to-read (#550),to-read,,,,0,0
51475353,Master of One,Jaida Jones,"Jones, Jaida",Danielle Bennett,"=""0062941445""","=""9780062941442""",0,3.69,HarperTeen,Hardcover,544,2020,2020,,2020/11/26,to-read,to-read (#549),to-read,,,,0,0
51340378,"The Mask of Mirrors (Rook & Rose, #1)",M.A. Carrick,"Carrick, M.A.",,"=""0356515176""","=""9780356515175""",0,4.06,Orbit,Paperback,630,2021,2021,,2020/11/26,to-read,to-read (#548),to-read,,,,0,0
39805610,"A Curse of Ash and Embers (Tales of the Blackbone Witches, #1)",Jo Spurrier,"Spurrier, Jo",,"=""1460756339""","=""9781460756331""",0,3.82,Voyager,Paperback,368,2018,2018,,2020/11/26,to-read,to-read (#546),to-read,,,,0,0
42238581,The Reckoning,John Grisham,"Grisham, John",,"=""1473684587""","=""9781473684584""",0,3.74,Hodder & Stoughton,Paperback,512,2018,2018,,2020/11/26,to-read,to-read (#545),to-read,,,,0,0
35082746,"Fantasy of Frost (The Tainted Accords, #1)",Kelly St. Clare,"Clare, Kelly St.",,"=""0648042405""","=""9780648042402""",0,4.19,Kelly St. Clare,Hardcover,264,2017,2015,,2020/11/20,to-read,to-read (#543),to-read,,,,0,0
35064610,"Huntress (Life After, #1)",Julie  Hall,"Hall, Julie",Nathalia Suellen,"=""""","=""""",0,4.08,Julie Hall ,Kindle Edition,351,2017,2015,,2020/11/26,to-read,to-read (#544),to-read,,,,0,0
36431876,"Blood Oath (Darkest Drae, #1)",Raye Wagner,"Wagner, Raye",Kelly St. Clare,"=""""","=""""",0,4.06,Independently Published,Kindle Edition,324,2017,2017,,2020/11/20,to-read,to-read (#542),to-read,,,,0,0
43981408,Soul in Darkness,Wendy Higgins,"Higgins, Wendy",,"=""1987016823""","=""9781987016826""",0,3.96,Barnes & Noble,Paperback,352,2019,2019,,2020/11/20,to-read,to-read (#541),to-read,,,,0,0
53341666,"A Dark and Hollow Star (The Hollow Star Saga, #1)",Ashley Shuttleworth,"Shuttleworth, Ashley",,"=""1534453679""","=""9781534453678""",0,3.81,Simon Pulse,Hardcover,512,2021,2021,,2020/11/20,to-read,to-read (#540),to-read,,,,0,0
30724132,"Geekerella (Once Upon a Con, #1)",Ashley Poston,"Poston, Ashley",,"=""1594749477""","=""9781594749476""",0,3.91,Quirk Books,Hardcover,320,2017,2017,,2020/11/19,to-read,to-read (#539),to-read,,,,0,0
55507022,"When Stars Collide (Chicago Stars, #9)",Susan Elizabeth Phillips,"Phillips, Susan Elizabeth",,"=""0063090090""","=""9780063090095""",0,3.83,Harper Large Print,Paperback,480,2021,2021,,2020/11/19,to-read,to-read (#538),to-read,,,,0,0
42393392,"Shorefall (Founders, #2)",Robert Jackson Bennett,"Bennett, Robert Jackson",,"=""1786487896""","=""9781786487896""",0,4.07,Jo Fletcher Books,Paperback,496,2020,2020,,2020/11/18,to-read,to-read (#537),to-read,,,,0,0
41473380,"Stormsong (The Kingston Cycle, #2)",C.L. Polk,"Polk, C.L.",,"=""""","=""""",0,3.91,Tor.com,Kindle Edition,345,2020,2020,,2020/11/18,to-read,to-read (#536),to-read,,,,0,0
42074525,"The City We Became (Great Cities, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",0,3.89,Orbit,Hardcover,437,2020,2020,,2020/11/18,to-read,to-read (#535),to-read,,,,0,0
36140857,"The Fragile Threads of Power (Threads of Power, #1)",V.E. Schwab,"Schwab, V.E.",,"=""1250902576""","=""9781250902573""",0,4.50,Macmillan Audio,Audiobook,10,2023,2023,,2020/11/18,to-read,to-read (#534),to-read,,,,0,0
8097637,"The Spirit Thief (The Legend of Eli Monpress, #1)",Rachel Aaron,"Aaron, Rachel",,"=""0316069051""","=""9780316069052""",0,3.88,Orbit,Paperback,310,2010,2010,,2020/11/18,to-read,to-read (#533),to-read,,,,0,0
34728925,"The Strange Case of the Alchemist's Daughter (The Extraordinary Adventures of the Athena Club, #1)",Theodora Goss,"Goss, Theodora",,"=""1534409637""","=""9781534409637""",0,3.82,Saga Press,Paperback,402,2017,2017,,2020/11/18,to-read,to-read (#532),to-read,,,,0,0
28960325,"The Harbors of the Sun (The Books of the Raksura, #5)",Martha Wells,"Wells, Martha",,"=""""","=""""",0,4.24,Night Shade Books,Kindle Edition,416,2017,2017,,2020/11/18,to-read,to-read (#531),to-read,,,,0,0
25898527,"The Edge of Worlds (The Books of the Raksura, #4)",Martha Wells,"Wells, Martha",,"=""1597808431""","=""9781597808439""",0,4.09,Night Shade Books,Hardcover,388,2016,2016,,2020/11/18,to-read,to-read (#530),to-read,,,,0,0
13649197,"The Siren Depths (Books of the Raksura, #3)",Martha Wells,"Wells, Martha",,"=""1597804401""","=""9781597804400""",0,4.25,Night Shade Books,Paperback,277,2012,2012,,2020/11/18,to-read,to-read (#529),to-read,,,,0,0
11834447,"The Serpent Sea (Books of the Raksura, #2)",Martha Wells,"Wells, Martha",,"=""1597803324""","=""9781597803328""",0,4.09,Night Shade Books,Paperback,340,2012,2012,,2020/11/18,to-read,to-read (#528),to-read,,,,0,0
9461562,"The Cloud Roads (Books of the Raksura, #1)",Martha Wells,"Wells, Martha",,"=""1597802166""","=""9781597802161""",0,3.97,Night Shade Books,Paperback,278,2011,2011,,2020/11/18,to-read,to-read (#527),to-read,,,,0,0
53305724,"Suns Will Rise (System Divine, #3)",Jessica Brody,"Brody, Jessica",Joanne Rendell,"=""""","=""""",0,4.25,Simon Pulse,,,2021,2021,,2020/11/18,to-read,to-read (#526),to-read,,,,0,0
38359036,"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,"Morris, Heather",,"=""006287067X""","=""9780062870674""",0,4.29,Harper,Hardcover,272,2018,2018,,2020/11/15,to-read,to-read (#525),to-read,,,,0,0
49504061,The Once and Future Witches,Alix E. Harrow,"Harrow, Alix E.",,"=""0316422045""","=""9780316422048""",0,4.06,Redhook,Hardcover,517,2020,2020,,2020/11/15,to-read,to-read (#524),to-read,,,,0,0
16793,Stardust,Neil Gaiman,"Gaiman, Neil",,"=""0061142026""","=""9780061142024""",0,4.10,Harper Perennial,Paperback,248,2006,1998,,2020/11/15,to-read,to-read (#523),to-read,,,,0,0
78970,A Matter of Honor,Jeffrey Archer,"Archer, Jeffrey",,"=""0312933541""","=""9780312933548""",0,3.95,St. Martin's Paperbacks,Mass Market Paperback,368,2005,1986,,2020/11/15,to-read,to-read (#522),to-read,,,,0,0
27833670,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""1101904224""","=""9781101904220""",0,4.13,Ballantine Books,Hardcover,352,2016,2016,,2020/11/15,to-read,to-read (#521),to-read,,,,0,0
36373463,"Us Against You (Beartown, #2)",Fredrik Backman,"Backman, Fredrik",,"=""1501160796""","=""9781501160790""",0,4.36,Atria Books,Hardcover,448,2018,2017,,2020/11/15,to-read,to-read (#520),to-read,,,,0,0
